Time - Plot 0	Temperatura (C) - Plot 0	
0,0	20,8	
1,0	20,8	
2,0	20,9	
3,0	20,9	
4,0	20,9	
5,0	20,9	
6,0	20,9	
7,0	20,9	
8,0	20,9	
9,0	20,9	
10,0	20,9	
11,0	20,9	
12,0	20,9	
13,0	20,9	
14,0	20,9	
15,0	20,9	
16,0	20,9	
17,0	20,9	
18,0	20,9	
19,0	20,9	
20,0	20,9	
21,0	20,9	
22,0	20,9	
23,0	20,9	
24,0	20,9	
25,0	20,9	
26,0	20,9	
27,0	20,9	
28,0	20,9	
29,0	20,9	
30,0	20,9	
31,0	20,9	
32,0	20,9	
33,0	20,9	
34,0	20,9	
35,0	20,9	
36,0	20,9	
37,0	20,9	
38,0	20,9	
39,0	20,9	
40,0	20,9	
41,0	20,9	
42,0	20,9	
43,0	20,9	
44,0	20,9	
45,0	20,9	
46,0	20,9	
47,0	20,9	
48,0	20,9	
49,0	20,9	
50,0	20,9	
51,0	20,9	
52,0	20,9	
53,0	20,9	
54,0	20,8	
55,0	20,8	
56,0	20,8	
57,0	20,8	
58,0	20,8	
59,0	20,8	
60,0	20,8	
61,0	20,8	
62,0	20,8	
63,0	20,8	
64,0	20,8	
65,0	20,8	
66,0	20,8	
67,0	20,8	
68,0	20,8	
69,0	20,8	
70,0	20,8	
71,0	20,8	
72,0	20,8	
73,0	20,8	
74,0	20,8	
75,0	20,8	
76,0	20,8	
77,0	20,8	
78,0	20,8	
79,0	20,8	
80,0	20,8	
81,0	20,8	
82,0	20,8	
83,0	20,8	
84,0	20,8	
85,0	20,8	
86,0	20,8	
87,0	20,8	
88,0	20,8	
89,0	20,8	
90,0	20,8	
91,0	20,8	
92,0	20,8	
93,0	20,8	
94,0	20,8	
95,0	20,8	
96,0	20,8	
97,0	20,8	
98,0	20,8	
99,0	20,8	
100,0	20,8	
101,0	20,8	
102,0	20,8	
103,0	20,8	
104,0	20,8	
105,0	20,8	
106,0	20,8	
107,0	20,8	
108,0	20,8	
109,0	20,8	
110,0	20,8	
111,0	20,8	
112,0	20,8	
113,0	20,8	
114,0	20,8	
115,0	20,8	
116,0	20,8	
117,0	20,8	
118,0	20,8	
119,0	20,8	
120,0	20,8	
121,0	20,8	
122,0	20,8	
123,0	20,8	
124,0	20,8	
125,0	20,8	
126,0	20,8	
127,0	20,8	
128,0	20,8	
129,0	20,8	
130,0	20,8	
131,0	20,8	
132,0	20,8	
133,0	20,8	
134,0	20,8	
135,0	20,9	
136,0	20,9	
137,0	20,9	
138,0	20,9	
139,0	20,9	
140,0	20,9	
141,0	20,9	
142,0	20,9	
143,0	20,9	
144,0	20,9	
145,0	20,9	
146,0	20,9	
147,0	21,0	
148,0	21,0	
149,0	21,0	
150,0	21,0	
151,0	21,0	
152,0	21,0	
153,0	21,0	
154,0	21,0	
155,0	21,0	
156,0	21,0	
157,0	21,0	
158,0	21,0	
159,0	21,0	
160,0	21,0	
161,0	21,0	
162,0	21,0	
163,0	21,0	
164,0	21,0	
165,0	21,0	
166,0	21,1	
167,0	21,1	
168,0	21,1	
169,0	21,1	
170,0	21,1	
171,0	21,1	
172,0	21,1	
173,0	21,1	
174,0	21,1	
175,0	21,1	
176,0	21,1	
177,0	21,1	
178,0	21,1	
179,0	21,1	
180,0	21,1	
181,0	21,1	
182,0	21,1	
183,0	21,1	
184,0	21,1	
185,0	21,1	
186,0	21,1	
187,0	21,1	
188,0	21,2	
189,0	21,2	
190,0	21,2	
191,0	21,2	
192,0	21,2	
193,0	21,2	
194,0	21,2	
195,0	21,2	
196,0	21,2	
197,0	21,2	
198,0	21,2	
199,0	21,2	
200,0	21,2	
201,0	21,2	
202,0	21,2	
203,0	21,2	
204,0	21,2	
205,0	21,2	
206,0	21,2	
207,0	21,2	
208,0	21,2	
209,0	21,2	
210,0	21,2	
211,0	21,2	
212,0	21,2	
213,0	21,2	
214,0	21,2	
215,0	21,2	
216,0	21,2	
217,0	21,2	
218,0	21,2	
219,0	21,2	
220,0	21,2	
221,0	21,2	
222,0	21,2	
223,0	21,2	
224,0	21,2	
225,0	21,2	
226,0	21,2	
227,0	21,2	
228,0	21,2	
229,0	21,2	
230,0	21,2	
231,0	21,2	
232,0	21,3	
233,0	21,3	
234,0	21,3	
235,0	21,3	
236,0	21,3	
237,0	21,3	
238,0	21,3	
239,0	21,3	
240,0	21,3	
241,0	21,3	
242,0	21,3	
243,0	21,3	
244,0	21,3	
245,0	21,3	
246,0	21,3	
247,0	21,3	
248,0	21,3	
249,0	21,3	
250,0	21,3	
251,0	21,3	
252,0	21,3	
253,0	21,3	
254,0	21,3	
