time_s;viscosity_cP;temperature_C;viscosity_theoretical_cP
0;698.1;20.8;1185.0607947008914
10;697.8;20.9;1173.035535280048
20;697.8;20.9;1173.035535280048
30;694.9;20.9;1173.035535280048
40;685.9;20.9;1173.035535280048
50;685.9;20.9;1173.035535280048
60;671.5;20.8;1185.0607947008914
70;654.6;20.8;1185.0607947008914
80;654.6;20.8;1185.0607947008914
90;635.7;20.8;1185.0607947008914
100;617.7;20.8;1185.0607947008914
110;617.7;20.8;1185.0607947008914
120;598.5;20.8;1185.0607947008914
130;581.4;20.8;1185.0607947008914
140;591.4;20.9;1173.035535280048
150;564.5;21.0;1161.1589731579988
160;548.7;21.0;1161.1589731579988
170;548.7;21.1;1149.4290290909034
180;534.1;21.1;1149.4290290909034
190;518.6;21.2;1137.8436433176269
200;518.6;21.2;1137.8436433176269
210;504.7;21.2;1137.8436433176269
220;490.6;21.2;1137.8436433176269
230;490.6;21.2;1137.8436433176269
240;477.4;21.3;1126.4007754484153
250;464.1;21.3;1126.4007754484153
260;464.1;21.3;1126.4007754484153
270;451.3;21.4;1115.0984043539772
280;438.4;21.4;1115.0984043539772
290;438.4;21.5;1103.9345280547175
300;425.8;21.6;1092.9071636103477
310;415.7;21.6;1092.9071636103477
320;415.7;21.7;1082.0143470097478
330;404.0;21.7;1082.0143470097478
340;393.9;21.8;1071.2541330610954
350;393.9;21.8;1071.2541330610954
360;384.3;21.9;1060.624595282376
370;375.5;22.0;1050.1238257919981
380;375.5;22.1;1039.7499351999215
390;367.5;22.1;1039.7499351999215
400;359.9;22.2;1029.501052498884
410;359.9;22.3;1019.3753249560071
420;352.8;22.4;1009.3709180046859
430;346.3;22.4;1009.3709180046859
440;346.3;22.5;999.4860151367187
450;339.8;22.6;989.718817794774
490;322.4;23.0;951.7917348219951
510;316.9;23.2;933.4889654170094
520;312.6;23.2;933.4889654170094
540;307.4;23.5;906.822776545963
550;303.4;23.5;906.822776545963
570;300.3;23.7;889.551472481261
580;297.4;23.8;881.0628425354776
590;297.7;23.9;872.6701219836893
600;295.2;24.0;864.3717524479944
610;293.1;24.1;856.1661919224495
620;291.7;24.2;848.0519146700774
630;291.5;24.3;840.0274111201769
640;290.0;24.4;832.0911877659732
660;288.9;24.5;824.2417670624675
670;287.6;24.6;816.4776873246153
690;286.6;24.8;801.1997826966826
700;285.7;24.9;793.6831128239505
710;285.7;24.9;793.6831128239505
730;284.6;25.1;778.8873415722924
740;284.6;25.1;778.8873415722924
750;284.3;25.2;771.6054876433722
760;284.1;25.3;764.3991784709951
770;284.1;25.4;757.2670756186354
780;284.0;25.4;757.2670756186354
790;284.1;25.5;750.2078556062157
800;284.1;25.5;750.2078556062157
810;284.1;25.6;743.2202098111603
820;284.1;25.7;736.3028443697224
830;284.1;25.7;736.3028443697224
840;284.2;25.8;729.4544800785804
850;284.1;25.8;729.4544800785804
