time_s;viscosity_cP;temperature_C
0;698.1;20.8
10;697.8;20.9
20;697.8;20.9
30;694.9;20.9
40;685.9;20.9
50;685.9;20.9
60;671.5;20.8
70;654.6;20.8
80;654.6;20.8
90;635.7;20.8
100;617.7;20.8
110;617.7;20.8
120;598.5;20.8
130;581.4;20.8
140;591.4;20.9
150;564.5;21.0
160;548.7;21.0
170;548.7;21.1
180;534.1;21.1
190;518.6;21.2
200;518.6;21.2
210;504.7;21.2
220;490.6;21.2
230;490.6;21.2
240;477.4;21.3
250;464.1;21.3
260;464.1;21.3
270;451.3;21.4
280;438.4;21.4
290;438.4;21.5
300;425.8;21.6
310;415.7;21.6
320;415.7;21.7
330;404.0;21.7
340;393.9;21.8
350;393.9;21.8
360;384.3;21.9
370;375.5;22.0
380;375.5;22.1
390;367.5;22.1
400;359.9;22.2
410;359.9;22.3
420;352.8;22.4
430;346.3;22.4
440;346.3;22.5
450;339.8;22.6
490;322.4;23.0
510;316.9;23.2
520;312.6;23.2
540;307.4;23.5
550;303.4;23.5
570;300.3;23.7
580;297.4;23.8
590;297.7;23.9
600;295.2;24.0
610;293.1;24.1
620;291.7;24.2
630;291.5;24.3
640;290.0;24.4
660;288.9;24.5
670;287.6;24.6
690;286.6;24.8
700;285.7;24.9
710;285.7;24.9
730;284.6;25.1
740;284.6;25.1
750;284.3;25.2
760;284.1;25.3
770;284.1;25.4
780;284.0;25.4
790;284.1;25.5
800;284.1;25.5
810;284.1;25.6
820;284.1;25.7
830;284.1;25.7
840;284.2;25.8
850;284.1;25.8
