time_s;viscosity_cP
0;698.1
10;697.8
20;697.8
30;694.9
40;685.9
50;685.9
60;671.5
70;654.6
80;654.6
90;635.7
100;617.7
110;617.7
120;598.5
130;581.4
140;591.4
150;564.5
160;548.7
170;548.7
180;534.1
190;518.6
200;518.6
210;504.7
220;490.6
230;490.6
240;477.4
250;464.1
260;464.1
270;451.3
280;438.4
290;438.4
300;425.8
310;415.7
320;415.7
330;404.0
340;393.9
350;393.9
360;384.3
370;375.5
380;375.5
390;367.5
400;359.9
410;359.9
420;352.8
430;346.3
440;346.3
450;339.8
460;NaN
470;NaN
480;NaN
490;322.4
500;NaN
510;316.9
520;312.6
530;NaN
540;307.4
550;303.4
560;NaN
570;300.3
580;297.4
590;297.7
600;295.2
610;293.1
620;291.7
630;291.5
640;290.0
650;NaN
660;288.9
670;287.6
680;NaN
690;286.6
700;285.7
710;285.7
720;NaN
730;284.6
740;284.6
750;284.3
760;284.1
770;284.1
780;284.0
790;284.1
800;284.1
810;284.1
820;284.1
830;284.1
840;284.2
850;284.1
860;284.1
